freq,psd,channel,stem,participant,condition
40.0,0.2445819837170312,Fz,7103 amo,7103,amo
1.0,34.621017403077154,Pz,7103 amo,7103,amo
1.5,21.26566723578568,Pz,7103 amo,7103,amo
2.0,12.09865854524697,Pz,7103 amo,7103,amo
2.5,9.346167397393375,Pz,7103 amo,7103,amo
3.0,7.356873004944035,Pz,7103 amo,7103,amo
3.5,8.261686551803693,Pz,7103 amo,7103,amo
4.0,7.455930279875929,Pz,7103 amo,7103,amo
4.5,5.5386030289334025,Pz,7103 amo,7103,amo
5.0,7.152505517290436,Pz,7103 amo,7103,amo
5.5,5.787261578600999,Pz,7103 amo,7103,amo
6.0,5.357266192061183,Pz,7103 amo,7103,amo
6.5,6.331933555425697,Pz,7103 amo,7103,amo
7.0,5.940997419053533,Pz,7103 amo,7103,amo
7.5,6.299405205659902,Pz,7103 amo,7103,amo
8.0,6.049276661854157,Pz,7103 amo,7103,amo
8.5,5.072107951094275,Pz,7103 amo,7103,amo
9.0,4.719807138445659,Pz,7103 amo,7103,amo
9.5,4.520557575701076,Pz,7103 amo,7103,amo
10.0,4.37216615505981,Pz,7103 amo,7103,amo
10.5,4.866667506234696,Pz,7103 amo,7103,amo
11.0,4.7633681762882505,Pz,7103 amo,7103,amo
11.5,4.676334811793837,Pz,7103 amo,7103,amo
12.0,4.930408380195515,Pz,7103 amo,7103,amo
12.5,5.203556991586665,Pz,7103 amo,7103,amo
13.0,4.396053036543872,Pz,7103 amo,7103,amo
13.5,4.103133620296922,Pz,7103 amo,7103,amo
14.0,3.9318029044573763,Pz,7103 amo,7103,amo
14.5,3.5419721885848623,Pz,7103 amo,7103,amo
15.0,3.494305169389669,Pz,7103 amo,7103,amo
15.5,3.460838855985659,Pz,7103 amo,7103,amo
16.0,3.2844181752523625,Pz,7103 amo,7103,amo
16.5,3.4648168774733636,Pz,7103 amo,7103,amo
17.0,3.189526628324614,Pz,7103 amo,7103,amo
17.5,2.928326714571669,Pz,7103 amo,7103,amo
18.0,2.9492385695823553,Pz,7103 amo,7103,amo
18.5,3.116936531743493,Pz,7103 amo,7103,amo
19.0,2.742976019396083,Pz,7103 amo,7103,amo
19.5,2.802638388316412,Pz,7103 amo,7103,amo
20.0,2.468562079247642,Pz,7103 amo,7103,amo
20.5,2.3834772932373953,Pz,7103 amo,7103,amo
21.0,2.110059464191671,Pz,7103 amo,7103,amo
21.5,1.9132863119500474,Pz,7103 amo,7103,amo
22.0,1.8459791359078066,Pz,7103 amo,7103,amo
22.5,1.566412285952761,Pz,7103 amo,7103,amo
23.0,1.483864684710455,Pz,7103 amo,7103,amo
23.5,1.3781357562754843,Pz,7103 amo,7103,amo
24.0,1.368090689276746,Pz,7103 amo,7103,amo
24.5,1.333233545889223,Pz,7103 amo,7103,amo
25.0,1.1164866731113614,Pz,7103 amo,7103,amo
25.5,1.0283135160347823,Pz,7103 amo,7103,amo
26.0,0.9800189300378359,Pz,7103 amo,7103,amo
26.5,0.9052577605801272,Pz,7103 amo,7103,amo
27.0,0.7931701602755075,Pz,7103 amo,7103,amo
27.5,0.7461025205276882,Pz,7103 amo,7103,amo
28.0,0.6735163378883846,Pz,7103 amo,7103,amo
28.5,0.6084665329998737,Pz,7103 amo,7103,amo
29.0,0.5545436289019167,Pz,7103 amo,7103,amo
29.5,0.51390555779384,Pz,7103 amo,7103,amo
30.0,0.5266488231356649,Pz,7103 amo,7103,amo
30.5,0.5186249359619453,Pz,7103 amo,7103,amo
31.0,0.46409132183301843,Pz,7103 amo,7103,amo
31.5,0.49055988763483055,Pz,7103 amo,7103,amo
32.0,0.48340753169473505,Pz,7103 amo,7103,amo
32.5,0.423579676387822,Pz,7103 amo,7103,amo
